Zip Code,Median Household income 
601,13283
602,18694
603,20719
606,14871
610,21509
612,20999
616,20123
617,18465
622,22963
623,21509
624,18476
627,20911
631,11500
637,19311
638,15317
641,20213
646,33284
647,15267
650,18906
652,22126
653,14281
656,16602
659,23401
660,25322
662,18486
664,20149
667,14768
669,15455
670,17617
674,23247
676,16820
677,20353
678,17013
680,19695
682,21446
683,20835
685,16922
687,19871
688,18263
690,20420
692,22076
693,21398
694,-
698,19932
703,18588
704,18975
705,21668
707,21338
714,19051
715,13729
716,22467
717,15210
718,21257
719,22545
720,16191
723,17216
725,24586
727,33259
728,20788
729,24688
730,17973
731,18135
735,21592
736,23568
738,23926
739,23234
740,16579
741,20323
745,27103
751,18462
754,21354
757,19038
765,26040
766,22379
767,20821
769,22140
771,23336
772,17992
773,23144
775,23598
777,21048
778,36848
780,25484
782,15463
783,16869
784,18252
786,-
791,22343
794,16203
795,21867
901,29453
906,-
907,39957
909,17182
911,47997
912,20109
913,6115
915,15949
917,17171
918,37463
920,30711
921,21285
923,17497
924,23576
925,16688
926,39517
927,43644
934,-
936,-
949,30290
950,-
951,-
952,21524
953,33436
956,25425
957,26260
959,35264
960,-
961,34741
962,19293
965,18000
966,75148
968,80357
969,60978
971,25314
976,34620
979,47844
982,29524
983,30033
985,28991
987,35814
1001,82512
1002,94489
1003,-
1005,99127
1007,92100
1008,72000
1009,57794
1010,95161
1011,78056
1012,69327
1013,48772
1020,70430
1022,53558
1026,53958
1027,74207
1028,101563
1029,53750
1030,83832
1031,60167
1032,80208
1033,94083
1034,85602
1035,93039
1036,87768
1037,91953
1038,77708
1039,90819
1040,45598
1050,81220
1053,82604
1054,99659
1056,76472
1057,86181
1060,86230
1062,96554
1063,-
1066,-
1068,90268
1069,77353
1070,64250
1071,81071
1072,94135
1073,103616
1074,-
1075,78077
1077,92059
1079,44208
1080,47350
1081,62727
1082,71117
1083,-
1084,81667
1085,80314
1086,-
1088,55769
1089,66864
1092,77250
1093,119167
1094,93472
1095,110618
1096,84476
1097,-
1098,95156
1103,15079
1104,34409
1105,17942
1106,122404
1107,28880
1108,37487
1109,37463
1118,62232
1119,56250
1128,92738
1129,69385
1151,40177
1199,-
1201,61736
1220,63394
1222,79737
1223,80256
1224,-
1225,72652
1226,69065
1229,-
1230,84658
1235,71806
1236,86068
1237,92417
1238,77438
1240,106929
1242,-
1243,91667
1244,150114
1245,74028
1247,54897
1253,82167
1254,115556
1255,79792
1256,64205
1257,78672
1258,95625
1259,115313
1260,-
1262,64167
1264,81250
1266,96250
1267,94293
1270,91250
1301,68225
1330,92500
1331,63636
1337,79063
1338,70000
1339,59167
1340,61786
1341,110179
1342,133000
1343,83438
1344,72885
1346,70000
1347,41458
1349,61938
1350,-
1351,100347
1354,84722
1355,79688
1360,86447
1364,56368
1366,78750
1367,60208
1368,77625
1370,77941
1373,86078
1375,67455
1376,55408
1378,79531
1379,62708
1420,59307
1430,105106
1431,92589
1432,112625
1434,101728
1436,95048
1438,70540
1440,59007
1450,133194
1451,158065
1452,94512
1453,71788
1460,133625
1462,104619
1463,97353
1464,79718
1467,131667
1468,89510
1469,97361
1473,106273
1474,133594
1475,80060
1501,90618
1503,105089
1504,93500
1505,111622
1506,71902
1507,103659
1510,78087
1515,94545
1516,93730
1518,94605
1519,138690
1520,116681
1521,83194
1522,110245
1523,104316
1524,84107
1525,-
1527,88622
1529,106591
1531,86875
1532,123876
1534,113365
1535,82154
1536,120417
1537,87949
1540,84455
1541,133967
1542,98229
1543,107533
1545,117384
1550,58067
1560,108906
1561,-
1562,80466
1564,131713
1566,108288
1568,133333
1569,97500
1570,60884
1571,84274
1581,130919
1583,92024
1585,75483
1588,76362
1590,113578
1602,83857
1603,53231
1604,58452
1605,42131
1606,80152
1607,66089
1608,25823
1609,64871
1610,37227
1611,92188
1612,115139
1701,117027
1702,62488
1718,155357
1719,154205
1720,159129
1721,122210
1730,146146
1731,83667
1740,161417
1741,195563
1742,158247
1745,121694
1746,127250
1747,117964
1748,165790
1749,97233
1752,85563
1754,115525
1756,131473
1757,91019
1760,136193
1770,168036
1772,173618
1773,183661
1775,158807
1776,176920
1778,189934
1801,100845
1803,110517
1810,160794
1821,105767
1824,130830
1826,94654
1827,145045
1830,71534
1832,74967
1833,127212
1834,98810
1835,81699
1840,36326
1841,37057
1843,43395
1844,87373
1845,129578
1850,47054
1851,55603
1852,61610
1854,54640
1860,115121
1862,113016
1863,103518
1864,142266
1867,134632
1876,110512
1879,119504
1880,114619
1886,148775
1887,118375
1890,182264
1901,29107
1902,46153
1904,96974
1905,60924
1906,92181
1907,125966
1908,129313
1913,90997
1915,98151
1921,166453
1922,116853
1923,100552
1929,120774
1930,87667
1937,-
1938,101486
1940,130773
1944,115677
1945,135991
1949,119344
1950,124947
1951,108167
1952,86630
1960,84847
1966,91585
1969,115921
1970,78642
1982,131250
1983,160571
1984,149550
1985,157331
2019,106580
2021,123250
2025,151528
2026,115379
2030,205139
2032,122266
2035,108510
2038,127639
2043,158117
2045,95975
2047,-
2048,118220
2050,108764
2052,164083
2053,141824
2054,105259
2056,155221
2061,126016
2062,107097
2066,135194
2067,139553
2071,113672
2072,93357
2081,117672
2090,161113
2093,128942
2108,181696
2109,174500
2110,159018
2111,47321
2113,101500
2114,156250
2115,46824
2116,145556
2118,80707
2119,37480
2120,31023
2121,31703
2122,54107
2124,55450
2125,52545
2126,53726
2127,80739
2128,51618
2129,118125
2130,94692
2131,81851
2132,122198
2134,70592
2135,66620
2136,67397
2138,125632
2139,104705
2140,96507
2141,89183
2142,158125
2143,85520
2144,118902
2145,70163
2148,70842
2149,56154
2150,53219
2151,61557
2152,84297
2155,97381
2163,68333
2169,77888
2170,87364
2171,83972
2176,117355
2180,113131
2184,104535
2186,139596
2188,98691
2189,68438
2190,97853
2191,92260
2199,195833
2203,-
2210,180057
2215,73224
2301,52862
2302,67959
2322,89423
2324,103806
2330,91399
2332,135903
2333,104622
2338,89131
2339,122620
2341,103750
2343,82953
2346,92990
2347,109485
2351,93519
2356,120363
2357,-
2359,106763
2360,97237
2364,111116
2366,-
2367,96290
2368,80220
2370,84090
2375,110663
2379,103295
2382,92348
2420,184183
2421,178214
2445,137111
2446,140833
2451,110093
2452,101298
2453,91875
2457,-
2458,153750
2459,189813
2460,155972
2461,181625
2462,218977
2464,110000
2465,171597
2466,137321
2467,148281
2468,209783
2472,110780
2474,130378
2476,137393
2478,141034
2481,215291
2482,193385
2492,175820
2493,235766
2494,154962
2532,88199
2534,86938
2535,105893
2536,81640
2537,100793
2538,77368
2539,82422
2540,103722
2542,43571
2543,90968
2553,-
2554,110060
2556,99634
2557,96714
2558,77037
2559,85750
2561,-
2562,84821
2563,99511
2564,-
2568,56964
2571,65685
2575,92522
2576,104018
2584,-
2601,60000
2630,97583
2631,82612
2632,84607
2633,88873
2635,88813
2637,141250
2638,82083
2639,67215
2641,237550
2642,73239
2643,-
2644,94925
2645,90319
2646,74348
2647,-
2648,98264
2649,86719
2650,71223
2651,-
2652,61176
2653,84026
2655,89219
2657,58750
2659,93611
2660,81576
2663,60568
2664,62864
2666,66014
