Zip Code,Median Household income
601,14361
602,16807
603,16049
606,12119
610,19898
612,18741
616,17007
617,16984
622,14615
623,17130
624,16701
627,17000
631,10244
637,17405
638,16843
641,15792
646,30573
647,14223
650,19764
652,21987
653,12072
656,17355
659,17715
660,19030
662,16834
664,14595
667,14013
669,16922
670,14245
674,18299
676,14992
677,19943
678,17144
680,14217
682,14706
683,16332
685,15185
687,20941
688,17874
690,18288
692,20585
693,19576
694,-
698,14794
703,18846
704,17275
705,20214
707,20760
714,17615
715,12188
716,17969
717,12121
718,19372
719,18922
720,15295
723,16063
725,21350
727,31688
728,19340
729,21469
730,15723
731,15473
735,18395
736,21894
738,19859
739,20065
740,12944
741,22121
745,22960
751,18087
754,19403
757,19827
765,14880
766,19682
767,16295
769,19700
771,21175
772,16107
773,21850
775,22667
777,19830
778,35183
780,21663
782,13683
783,14995
784,17415
786,37552
791,20269
794,17073
795,20471
901,21469
906,106518
907,36495
909,19443
911,35470
912,22292
913,6493
915,12802
917,15220
918,25117
920,25809
921,18763
923,14159
924,18176
925,11090
926,35788
927,35268
934,-
936,-
949,27229
950,-
951,-
952,14991
953,29019
956,23127
957,26667
959,30466
960,-
961,29511
962,15497
965,15276
966,48163
968,49099
969,50419
971,22480
976,32377
979,34701
982,24895
983,25750
985,26156
987,32555
1001,63949
1002,61159
1003,"2,500-"
1005,67302
1007,91191
1008,76333
1009,80714
1010,70063
1011,76500
1012,67321
1013,43808
1020,60561
1022,46488
1026,58438
1027,67119
1028,87748
1029,87727
1030,76000
1031,38173
1032,68750
1033,96979
1034,87750
1035,74364
1036,91646
1037,80556
1038,72045
1039,94191
1040,40769
1050,67750
1053,60823
1054,90978
1056,73458
1057,83008
1060,61798
1062,75179
1063,-
1066,-
1068,88571
1069,63750
1070,60000
1071,75592
1072,80625
1073,104577
1074,86414
1075,69346
1077,73776
1079,31594
1080,65741
1081,69250
1082,56637
1083,60323
1084,75938
1085,68042
1086,-
1088,54286
1089,53053
1092,108725
1093,91563
1094,-
1095,108965
1096,82574
1097,-
1098,80192
1103,26135
1104,34937
1105,19427
1106,121141
1107,26258
1108,43235
1109,35339
1118,63571
1119,46985
1128,61659
1129,58621
1151,43128
1199,-
1201,52223
1220,53223
1222,58646
1223,75250
1224,77717
1225,71081
1226,68915
1229,-
1230,69328
1235,63947
1236,64048
1237,67625
1238,73333
1240,68393
1242,-
1243,49643
1244,51538
1245,80417
1247,44721
1253,85417
1254,91484
1255,71023
1256,58125
1257,100909
1258,67500
1259,68438
1260,118508
1262,29659
1264,71250
1266,73906
1267,83939
1270,85417
1301,50889
1330,70761
1331,57987
1337,66771
1338,60347
1339,64813
1340,62500
1341,96563
1342,85341
1343,71625
1344,62727
1346,69375
1347,53846
1349,65536
1350,28750
1351,81042
1354,67917
1355,65875
1360,75875
1364,50890
1366,71484
1367,63750
1368,76250
1370,62966
1373,78382
1375,55625
1376,40913
1378,59375
1379,53750
1420,57207
1430,95037
1431,97958
1432,94375
1434,92426
1436,73169
1438,119808
1440,49679
1450,129085
1451,162619
1452,91734
1453,61887
1460,123413
1462,103228
1463,104130
1464,76875
1467,-
1468,73246
1469,91964
1473,100972
1474,90302
1475,80267
1501,85432
1503,99297
1504,95375
1505,97591
1506,70338
1507,101111
1510,67634
1515,82946
1516,99943
1518,72470
1519,109670
1520,109529
1521,82179
1522,108036
1523,93385
1524,81042
1525,40947
1527,85781
1529,79129
1531,91125
1532,128613
1534,102284
1535,78750
1536,109329
1537,64975
1540,77184
1541,136083
1542,106250
