RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2/28/2021
61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1247237
84654,1,60657,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,991571
61637,2,10023,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1558968
91982,3,77494,Zip,TX,TX,Katy,Houston-The Woodlands-Sugar Land,Harris County,360651
84616,4,60614,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,1243489
91940,5,77449,Zip,TX,TX,Katy,Houston-The Woodlands-Sugar Land,Harris County,208858
61616,6,10002,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1064698
91733,7,77084,Zip,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,209208
93144,8,79936,Zip,TX,TX,El Paso,El Paso,El Paso County,150714
84640,9,60640,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,772128
62037,10,11226,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1075986
61807,11,10467,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,548739
92593,12,78660,Zip,TX,TX,Pflugerville,Austin-Round Rock,Travis County,336560
97564,13,94109,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,2668327
61630,15,10016,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1186986
74101,16,37013,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,274647
71831,17,32162,Zip,FL,FL,The Villages,The Villages,Sumter County,294120
84646,18,60647,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,610616
62012,19,11201,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,2966753
62045,20,11235,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,893353
62087,21,11375,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,1146761
96107,22,90250,Zip,CA,CA,Hawthorne,Los Angeles-Long Beach-Anaheim,Los Angeles County,762708
92271,23,78130,Zip,TX,TX,New Braunfels,San Antonio-New Braunfels,Comal County,260093
74242,24,37211,Zip,TN,TN,Nashville,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,323243
61643,25,10029,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,914609
61623,26,10009,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1230189
92036,27,77573,Zip,TX,TX,League City,Houston-The Woodlands-Sugar Land,Galveston County,299518
84620,28,60618,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,592078
92045,29,77584,Zip,TX,TX,Pearland,Houston-The Woodlands-Sugar Land,Brazoria County,285950
61625,30,10011,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,2534672
66126,31,20002,Zip,DC,DC,Washington,Washington-Arlington-Alexandria,District of Columbia,802620
61703,32,10128,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,4926024
69816,33,28269,Zip,NC,NC,Charlotte,Charlotte-Concord-Gastonia,Mecklenburg County,261423
92551,34,78613,Zip,TX,TX,Cedar Park,Austin-Round Rock,Williamson County,402672
91926,35,77433,Zip,TX,TX,Cypress,Houston-The Woodlands-Sugar Land,Harris County,309973
92515,36,78572,Zip,TX,TX,Mission,McAllen-Edinburg-Mission,Hidalgo County,137011
71067,37,30349,Zip,GA,GA,Riverdale,Atlanta-Sandy Springs-Roswell,Clayton County,184936
93123,38,79912,Zip,TX,TX,El Paso,El Paso,El Paso County,218099
90654,39,75052,Zip,TX,TX,Grand Prairie,Dallas-Fort Worth-Arlington,Dallas County,252163
97771,40,94565,Zip,CA,CA,Pittsburg,San Francisco-Oakland-Hayward,Contra Costa County,636088
74126,41,37042,Zip,TN,TN,Clarksville,Clarksville,Montgomery County,183483
62017,42,11206,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1129253
89925,43,73099,Zip,OK,OK,Yukon,Oklahoma City,Canadian County,186913
96027,44,90046,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2008581
66133,45,20009,Zip,DC,DC,Washington,Washington-Arlington-Alexandria,District of Columbia,917701
91922,46,77429,Zip,TX,TX,Cypress,Houston-The Woodlands-Sugar Land,Harris County,284813
92341,47,78245,Zip,TX,TX,San Antonio,San Antonio-New Braunfels,Bexar County,206909
91968,48,77479,Zip,TX,TX,Sugar Land,Houston-The Woodlands-Sugar Land,Fort Bend County,401518
61802,49,10462,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,578033
61796,50,10456,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,463098
84615,51,60613,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,1010218
70829,52,30044,Zip,GA,GA,Lawrenceville,Atlanta-Sandy Springs-Roswell,Gwinnett County,251027
61633,53,10019,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,872614
86026,54,63376,Zip,MO,MO,Saint Peters,St. Louis,Saint Charles County,242702
61617,55,10003,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,2106039
69823,56,28277,Zip,NC,NC,Charlotte,Charlotte-Concord-Gastonia,Mecklenburg County,424656
84627,57,60625,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,548424
70828,58,30043,Zip,GA,GA,Lawrenceville,Atlanta-Sandy Springs-Roswell,Gwinnett County,287883
62040,59,11230,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1329494
62023,60,11212,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,515127
91685,61,77036,Zip,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,228630
61803,62,10463,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,806136
84630,63,60629,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,225073
62020,64,11209,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1157528
70874,65,30096,Zip,GA,GA,Duluth,Atlanta-Sandy Springs-Roswell,Gwinnett County,284774
62032,66,11221,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1204821
60545,67,7030,Zip,NJ,NJ,Hoboken,New York-Newark-Jersey City,Hudson County,931023
99534,68,98052,Zip,WA,WA,Redmond,Seattle-Tacoma-Bellevue,King County,1081555
70810,69,30024,Zip,GA,GA,Suwanee,Atlanta-Sandy Springs-Roswell,Gwinnett County,409929
84612,70,60610,Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,953778
92617,71,78704,Zip,TX,TX,Austin,Austin-Round Rock,Travis County,956187
91726,72,77077,Zip,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,337280
94748,73,85032,Zip,AZ,AZ,Phoenix,Phoenix-Mesa-Scottsdale,Maricopa County,351991
